CODE;PL
3824;Grawitacyjne przyrządy geofizyczne
3825;Przyrządy geofizyczne oparte na polaryzacji indukcyjnej IP
3826;Magnetometryczne przyrządy geofizyczne
3827;Przyrządy geofizyczne oparte na rezystywności
3828;Grawimetry
3829;Przyrządy i urządzenia badawcze, hydrograficzne, oceanograficzne i hydrologiczne
3830;Przyrządy do pomiaru
3831;Wagi precyzyjne
3832;Stoły kreślarskie
3833;Ręczne przyrządy do mierzenia długości
3834;Przyrządy do mierzenia ilości
3840;Przyrządy do badania właściwości fizycznych
3841;Przyrządy pomiarowe
3842;Przyrządy do mierzenia przepływu, poziomu i ciśnienia cieczy i gazów
3843;Aparatura do wykrywania i analizy
3850;Aparatura kontrolna i badawcza
3851;Mikroskopy
3852;Skanery
3853;Aparatura dyfrakcyjna
3854;Maszyny i aparatura badawcza i pomiarowa
3855;Liczniki
3856;Liczniki produkcji
3857;Przyrządy i aparatura nastawcza i kontrolna
3858;Pozamedyczne urządzenia wykorzystujące promieniowanie
3860;Przyrządy optyczne
3862;Materiał polaryzacyjny
3863;Przyrządy astronomiczne i optyczne
3864;Urządzenia ciekłokrystaliczne
3865;Sprzęt fotograficzny
3870;"Liczniki czasu i tym podobne; parkometry"
3871;Liczniki czasu
3872;Rejestratory czasu
3873;Parkometry
3874;Regulatory programowe
3875;Wyłączniki czasowe
3880;Urządzenia sterujące procesem przemysłowym i urządzenia do zdalnego sterowania
3881;Urządzenia sterujące procesem przemysłowym
3882;Urządzenia zdalnie sterowane
3890;Różne przyrządy do badań lub testowania
3891;Sprzęt do monitorowania i testowania stanu higienicznego
3892;Sprzęt do nasion i pasz
3893;Przyrządy do pomiaru wilgoci i wilgotności
3894;Przyrządy do oceny zagrożenia jądrowego
3895;Łańcuchowa reakcja polimeryzacji katalizowana przez polimerazę (PCR)
3896;Blokada zapłonu w samochodzie w przypadku wykrycia oparów alkoholu
3897;Badawcze, testowe i naukowe symulatory techniczne
3900;Meble (włącznie z biurowymi), wyposażenie, urządzenia domowe (z wyłączeniem oświetlenia) i środki czyszczące
3910;Meble
3911;Siedziska, krzesła i produkty z nimi związane, i ich części
3912;Stoły, kredensy, biurka i biblioteczki
3913;Meble biurowe
3914;Meble domowe
3915;Różne meble i wyposażenie
3916;Meble szkolne
3917;Meble sklepowe
3918;Meble laboratoryjne
3919;Tapety papierowe i inne okładziny ścienne
3920;Wyposażenie domowe
3922;Sprzęt kuchenny, artykuły gospodarstwa domowego i artykuły domowe oraz artykuły cateringowe
3923;Produkty specjalnego zastosowania
3924;Wyroby nożownicze
3925;Wyroby zegarmistrzowskie
3926;Tacki dostawcze i wyposażenie biurek
3927;Artykuły religijne
3929;Wyposażenie różne
3930;Różny sprzęt
3931;Urządzenia zaopatrzeniowe
3933;Urządzenia dezynfekujące
3934;Sprzęt sieci gazowniczej
3935;Urządzenia do obróbki ścieków
3936;Urządzenia uszczelniające
3937;Instalacje wodne
3950;Wyroby włókiennicze
3951;Wyroby włókiennicze w rodzaju używanych w gospodarstwie domowym
3952;Gotowe wyroby włókiennicze
3953;Dywany, maty i dywaniki
3954;Różne wyroby powroźnicze, linowe, szpagatowe i sieciowe
3955;Wyroby inne niż tkane
3956;Różne wyroby włókiennicze
3970;Sprzęt gospodarstwa domowego
3971;Elektryczny sprzęt gospodarstwa domowego
3972;Sprzęt gospodarstwa domowego inny niż elektryczny
3980;Środki czyszczące i polerujące
3981;Preparaty i woski wonne
3982;Środki organiczne powierzchniowo czynne
3983;Środki czyszczące
4100;Woda zlewnicza i oczyszczona
4110;Woda naturalna
4111;Woda pitna
4112;Woda nienadająca się do picia
4200;Maszyny przemysłowe
4210;Maszyny do wytwarzania i wykorzystywania mocy mechanicznej
4211;Turbiny i silniki
4212;Pompy i sprężarki
4213;Krany, kurki, zawory i podobna armatura
4214;Przekładnie, przekładnie zębate i elementy napędowe
4215;Reaktory jądrowe i części reaktorów jądrowych
4216;Układy kotłów grzewczych
4220;Maszyny do obróbki żywności, napojów i tytoniu oraz podobne części
4221;Maszyny do przetwarzania żywności, napojów i tytoniu
4222;Części maszyn do przetwarzania żywności, napojów i tytoniu
4230;Piece przemysłowe lub laboratoryjne, piece do spopielania i paleniska
4231;Palniki
4232;Piece do spalania odpadów
4233;Piece do spopielania
4234;Piece inne niż domowe
4235;Piece kremacyjne
4239;Części palników, palenisk lub pieców
4240;Urządzenia podnośnikowe i przeładunkowe oraz ich części
4241;Urządzenia podnośnikowe i przeładunkowe
4242;Łopatki, szufle, łyżki i chwytaki do dźwigów lub koparek
4250;Urządzenia chłodzące i wentylacyjne
4251;Wymienniki ciepła, urządzenia do konfekcjonowania powietrza i urządzenia chłodzące oraz maszyny filtrujące
4252;Urządzenia wentylacyjne
4253;Części sprzętu chłodniczego i mrożącego i pompy grzewcze
4260;Obrabiarki
4261;Obrabiarki sterowane laserem lub centra obróbkowe
4262;Tokarki, obrabiarki do wiercenia i frezowania
4263;Obrabiarki do obróbki metali
4264;Obrabiarki do obróbki tworzyw twardych, z wyjątkiem metalu
4265;Pneumatyczne lub silnikowe narzędzia ręczne
4266;Narzędzia do lutowania na miękko, lutowania na twardo, obróbki powierzchni oraz maszyny i urządzenia do natryskiwania na gorąco
4267;Części i akcesoria do obrabiarek
4270;Maszyny do produkcji wyrobów włókienniczych, odzieży i skóry
4271;Maszyny do produkcji wyrobów włókienniczych
4272;Części maszyn do produkcji wyrobów włókienniczych i odzieży
4280;Maszyny do produkcji papieru i tektury
4281;Części maszyn do produkcji papieru i tektury
4290;Różne maszyny ogólnego i specjalnego przeznaczenia
4291;Aparatura do destylacji, filtrowania lub rektyfikacji
4292;Maszyny do czyszczenia butelek, opakowań oraz maszyny ważące i natryskujące
4293;Wirówki, gładzarki i automaty sprzedające
4294;Maszyny do obróbki cieplnej tworzyw
4295;Części maszyn ogólnego zastosowania
4296;System sterowania i kontroli, sprzęt drukujący, graficzny, automatyzujący prace biurowe i przetwarzający informacje
4297;Części zmywarek oraz maszyn do czyszczenia, napełniania, pakowania zbiorczego lub jednostkowego
4298;Generatory gazu
4299;Różne maszyny specjalnego zastosowania
4300;Maszyny górnicze, do pracy w kamieniołomach, sprzęt budowlany
4310;Urządzenia górnicze
4312;Wrębiarki do węgla lub skał oraz maszyny do drążenia tuneli oraz wytaczania lub maszyny do głębienia szybów
4313;Sprzęt wiertniczy
4314;Przenośne hydrauliczne zmechanizowane wsporniki korytarzy górniczych
4320;Maszyny do usuwania gleby i koparki oraz podobne części
4321;Maszyny do usuwania gleby
4322;Równiarki i niwelatory
4323;Maszyny zgarniające
4324;Podbijaki
4325;Ładowarki czołowe
4326;Koparki, czerparki i ładowarki, i maszyny górnicze
4330;Maszyny i sprzęt budowlany
